,title,date,company,location,salary,description
216,data analyst/manager & developer - global equities fund manager,15 Feb 2021,Ratio Group,Sydney,95000.0,"we are seeking an individual with sound coding, analytical and data management skills to assist in the,management, implementation and development of our investment process. high levels of data quality,and robust system design are integral to the highly automated process.,this successful applicant’s responsibilities include:,this role interacts with all facets of the investment team and also offers the opportunity to also get involved in,this fund manager is well known and has an incredibly stable and long-tenured team. this maybe one of the may be one of the best opportunities in investment managers market."
217,data analyst,9 Feb 2021,Slade Group,Melbourne,90000.0,"reporting to the head of australia and working across people & culture, hseq and esg, the data analyst is a newly created role which presents the opportunity to develop your data capture and analysis skills and use them to assist in strategic service delivery decision making.,key responsibilities: ,selection criteria:"
218,data analyst - marketing & cx,15 Feb 2021,Nearmap Australia Pty Ltd,Sydney,90000.0,"nearmap is unique. an australian global technology company with incredible people; a market-leader with energy and spirit. nearmap was named as one of the world’s 10 most innovative companies of 2020 by fast company magazine – and we’re growing., ,join us on this exciting journey, you’ll love our inclusive values and share our ambition to become the source of truth that helps shape decisions for the liveable world., ,we provide easy, instant access to high-resolution aerial imagery, city-scale 3d content, ai datasets and integrated geospatial tools, with wide-scale coverage across the usa, canada, australia and new zealand. at the core of it, we’re a location content company, a visual analytics company, and a software as a service company. innovation is weaved into our dna., ,for this particular role we are seeking people with the following experience:,3 – 5 years’ experience in an analyst role where you were responsible for applying data driven insights to recommendations in commercial settings.,demonstrated ability to analyse both qualitative and quantitative information objectively.,understanding/working knowledge of saas business model, preferably in a b2b setting.,understanding of formulating/analysing growth marketing metrics such as cac, ltv, roi etc. preferably in a saas setting.,strong understanding of web analytics, google analytics and snowplough (preferred).,understanding of crm systems (specially salesforce, preferable), marketing automation systems (preferred), nps platforms qualtrics, preferred) and customer support/experience platforms.,understanding of data modelling tools (such as dbt, preferred) and techniques.,hands-on experience in cloud-based bi/analytics tools such as (looker, mode, chartio, qlik, domo and tableau/powerbi etc.).,advanced excel skills.,ability to liaise with internal and external clients at all levels with the capacity to negotiate and resolve conflict with clients, staff and management representatives., , ,champion marketing and customer experience analytics at nearmap and take it to the next level from its current state.,perform end-to-end funnel analysis in a hybrid low-and-high-touch b2b enterprise saas environment across variety of journey/customer-journey touch points such as the ad networks, landing pages and website, marketing automation and crm platforms.,contribute to the data org.’s roadmap in creating a singular source of truth that provides unparalleled value to all nearmappers.,identifying areas of opportunities for the marketing team (growth marketing, product marketing, retention, cx etc.) by embedding quality, factual and robust data solutions such as reports, dashboards, insights, and deep dives.,partner with the marketing team on creating, validating, and enabling different test & learn hypotheses to support nearmap’s go-to-market plans., ,act as technical point of contact and data acquisition lead  for marketing funnel/web analytics data in liaison with marketing automation and crm data.,acquire accurate and sufficient data from resources, internal and external required to solve the business problem.,perform data gap analysis and recommend additional sources of data.,work with the back-end engineers to modify, update and create new data models and novel solutions that enhances our data activation and usage within the marketing (and broader business teams)., ,find, promote and evangelise novel and unique ways to create a story out of the data through the effective use of data visualisation and general adherence to ux and design/aesthetics when creating data products for internal team.,enthusiasm to provide both top-down analysis (asked by the relevant stakeholders) and bottom-up analytical findings (those where your curiosity has discovered previously unknown trends, patterns and interesting data points that can take our business one step closer to our strategic targets).,communicate effectively at all levels of the stakeholder map and types of comms., ,be proactive in engaging in key data projects (such as data governance, cdp etc.).,collaborate with other analysts in the team on bringing data org’s vision and mission to life by participating in projects and other ad-hoc work.,manifest data org.’s values and guiding principles – ‘business first, data second’, ‘agile but pragmatic’ and ‘always closing the loops’., ,complies with responsibilities of working for a public company.,complies with all local legislative requirements.,adheres to company guidelines and the corporate code of conduct.,where appropriate keeps up to date with legislative requirements.,ensures personal adherence to workplace health and safety requirements and either addresses or brings to management’s attention when others are in breach of these requirements.,acts in an ethical way when dealing with company assets and other people., ,nearmap takes a holistic approach to our employees’ emotional, physical and financial wellness. our current benefits include access to the nearmap employee share scheme, short and long-term financial incentives, flexible working options, paid volunteer days, gym and phone rebates, and lots of development opportunities including hack-a-thons and pitch-fests., ,we move fast and work smart; often wearing multiple hats. we adapted to remote working with ease and are continually looking at ways to improve. we’re proud of our inclusive, supportive culture, and maintain a safe environment where everyone feels a sense of belonging and can be themselves., ,if you can see yourself working at nearmap and feel you have the right level of experience, we invite you to get in touch. , ,nearmap does not accept unsolicited resumes from recruitment agencies and search firms. please do not email or send unsolicited resumes to any nearmap employee, location or address. nearmap is not responsible for any fees related to unsolicited resumes."
219,data analyst ,9 Feb 2021,Randstad - Commercial,ACT,90000.0,"the atlas of living australia (ala) is a national research infrastructure providing biodiversity data and related services to over 75,000 users in research, government, industry, and the public. in this exciting new role you will lead data integration activities to support national state of the environment reporting with our partners the integrated marine observing systems (imos), terrestrial ecosystem research network (tern) and the department of agriculture, water and environment (dawe). you will lead the data partnerships to produce novel datasets and insights that support improved research and decision-making. you will be responsible for generating analyses, visualisations and reports, drawing on skills in data integration and statistical analysis. as a member of the ala science and decision support team, you will have a unique opportunity to collaborate and innovate to enhance australia's environmental decision-making capability. ,to be eligible for this position you must be willing and able to travel interstate and/or overseas and to work outside of normal office hours when required,the role is preferably located in canberra however applicants open to relocation or currently based in melbourne are also encouraged to apply. ,at randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. we actively encourage applications from any background."
220,senior data analyst,5 Feb 2021,nura,Melbourne,90000.0,"we’re nura - a young company creating the world’s first headphones that automatically learn and adapt to your hearing.,we’re based in melbourne, australia with a forward thinking and global focus. in 2018, we won the coveted best of innovation award at ces and the red dot design award. in 2019, we’ve won yet another ces award and the sxsw interactive innovation award for music & audio innovation. you can read about us in wired, forbes, dj mag, fact magazine and many more., ,we’re looking for an experienced data guru who can play a critical role in nura’s data enablement going forward. ,this role is equally technical and business minded. they know their left joins from their right, but they’re also able to work with (often senior) stakeholders to understand what insights they’re looking for and can then execute on this. ,you will be exposed to a wide array of business areas (marketing, ecommerce, customer service, retail and pr) and play a key role in commercial decisions. you will also be responsible for reporting on top-line business performance. as a result, you will have the opportunity to drive the performance of the company - we are looking for someone where this degree of empowerment sounds exciting!, ,assist and enable nura’s data insights and capability, end to end. this includes:, , , ,we will be reviewing applications on an ongoing basis so "
221,reporting analyst - data services support,12 Feb 2021,HUB24 Management Services Pty Ltd,Brisbane,90000.0,"this is an important new role in our specialist data services team at hub24:,you'll start off responding to client requests for reporting services through a ticketing system. as this role evolves, you'll have the opportunity to broaden your responsibilities and technical skills. as such, this is a great development opportunity for the right individual. ,some financial services experience is highly regarded. ,as the reporting expert, you’ll provide troubleshooting and support for existing reports, and extracts. you’ll develop and maintain database driven solutions (including, but not limited to, sql, ssrs, ssis and powershell) to represent data effectively to internal and external clients.,hub24 manage work via a ticketing system: you’ll be responding to client requests to understand and determine business requirements, develop these into technical specifications and implement into effective solutions.,this role is also responsible for accurately maintaining system documentation, including change requests, technical and user guides, problem and resolution knowledge databases and documentation produced during the system life cycle.,hub24 was established in 2007 by a team with a very strong track record of delivering market-leading platform solutions in the financial services industry. hub24’s award-winning platform solution continues to be recognised across the industry for value for money and customer experience, providing advisers with the technology to efficiently manage and add value to their clients. hub24 limited is a company listed on the australian securities exchange.,this position reports into our reporting team lead and is part of our talented data services team who are also based in brisbane.,this role is not just about reporting on data, but truly understanding what it this represents and communicating this with confidence to internal stakeholders & clients. you’ll need to have as a minimum:,experience in the following is desirable, but not mandatory:,it would be ideal if you have experience in the financial services industry and/or capital markets technology, however we’d still be keen to see applications outside our industry with the right technical sql capability, communication skills and aptitude for reporting. , "
222,data analyst | permanent ,11 Feb 2021,Robert Half Technology,Melbourne,90000.0,"this client is one of victoria's largest health care providers, employing near 9000 staff across a variety of roles. delivering vital state-wide services to all victorians, including to diverse multicultural and veteran communities. you would be joining a team of individuals who are passionate about the work they do, with strong morals in improving health. driven by their values, this organisation is passionate about collaboration, educating, and development that helps to shape the future of the team., ,the purpose of this role is to support the testing and building of the reporting solution within the organisation. the successful candidate will be working closely with the senior data analyst, working with business and reporting requirements on business-as-usual projects and a variety of other project needs.,key functions:, ,you will be a data analyst who has excellent verbal and written communication as this is paramount to the role. you should be an excellent problem solver with great analytical skills, you should also feel comfortable working autonomously and as part of a close-knit team. you will have a strong understanding of data governance in enterprise data models , and have experience in the listed tools below., ,if this sounds like you then click on the apply button now., "
223,reporting analyst,8 Feb 2021,Metro Trains Melbourne,Melbourne,90000.0,"metro moves you around melbourne.,as the city’s metropolitan rail service, metro operates 226 six carriage trains across 998 kilometres of track, transporting 450,000 customers each day. we aim to encourage the melbourne community’s vibrant and ever evolving lifestyles, by providing a seamless transport solution to keep individuals connected.,with 15 lines, 222 stations and services seven days a week, metro can take you wherever you’re headed across the city, whenever you want to go., ,we are currently seeking a reporting analyst to join our projects division at metro. this is part of a large scale project that will interface and work with state projects as part of victoria’s big build, which in turn will benefit train users, pedestrians, cyclists and drivers by improving safety, reducing congestion and enabling more frequent train services.  in this role, you will support the project services general manager in the governance, oversight and continuous improvement in the reporting of project and rail safety management and investigation practices., ,the reporting analyst position exists to lead data analytics and reporting support to the projects leadership team and portfolios via the project services team.  this includes supporting the submission of project status reports to the client and the mtm business.  a key element of the role is to consolidate reporting data from across the projects division so that data can be analysed to support strategic decision making., , , , , , ,please submit your application by , "
224,aps5 reporting data analyst,9 Feb 2021,Recruitment Hive,ACT,90000.0,"our client, a large federal government department focussing on economic prosperity, based in civic, act, requires an aps5 reporting data analyst. ,the contract will run up until 30 june 2021, with the possibility of extension.,to apply for this long contract opportunity, please forward your resume to andy at the recruitment hive by clicking the , button. please note submission date is 12/02/2021."
225,data & reporting analyst,2 Feb 2021,Lumi Financial Management Pty. Limited,Sydney,90000.0,"about us,we are lumi, a bondi-based fintech lender, dedicated to serving the needs of australian smes. our focus is to provide an exceptional level of customer service to businesses in all sectors across the whole of australia. our mission is to empower small businesses to grow through access to capital that has historically been hard to access.,we pride ourselves on our commitment to both our clients and our people. we encourage and support our team members in extending themselves beyond their role, advancing their careers, and lumi's goals.,lumi's work environment is dynamic with a highly engaged team of ambitious professionals seeking to make lumi a major player in our industry. we have the funding and ability to generate exponential growth in our business, and we are hiring exceptional team members to help us achieve this goal.,the role,in your role as a data & reporting analyst, you will enhance lumi's loan performance and application data by developing, running, and maintaining data pipelines. in addition, you will work on reporting, data governance, and ad hoc investigations.,in this hands-on data role, you will be expected to identify, understand, and document business problems and develop sustainable, scalable, data-driven solutions that leverage lumi's cloud-based data and technology ecosystem (aws, databricks, mode analytics). ,while you will be supported by our capable technology and analytics team members, you will primarily partner with our finance and risk functions and will need to become an expert in lumi's data to be able to support their needs. ,lumi is an agile fast-growing business, and an ability to think on your feet and be flexible in managing your workload is a must. ,this role will provide a fantastic opportunity to leverage your data and analytics experience into a role that gives you access to business and financial services subject matter experts to become a core contributor to a rising star in the small business lending market. ,about you,you are a data, analytics, or software development professional with at least 3 years’ experience looking to take the next step in your career by moving into a business facing role. this role will require you to be proactive in your approach, effectively manage a dynamic workload, and collaborate extensively within a small highly skilled team. ,you are:"
226,data analyst,3 Feb 2021,Peoplebank Australia VIC,Melbourne,90000.0," ,our client is a leader within financial services. they pride themselves on looking after and supporting their customers as individuals. currently they are undertaking an exciting operations transformation, we require an data analyst to join the team.,the responsibilities of the role revolve around working in the operations transformation team. you will be looking at data around people, customers and human resources. this includes, , ,the successful person will have a strong background in data analysis and analytics. you will be able to work with business stakeholders to understand what reports they need and be able to manipulate data to produce insights.,if this sounds like you please apply within."
227,database analyst,9 Feb 2021,Robert Half Management Resources,Melbourne,90000.0," , our client is one of the leading healthcare specialists standing clear of their competition locally and as such is an internationally recognised leader in the health care sector. their world-class leading-edge services are the envy of many and make them a highly sort after employer to work for. providing a vital state-wide service to all victorians, our client is constantly looking to evolve and they are ready to embark on another ambitious project that will this time reshape the way in which they do reporting., , , , this is a hands-on role that will rely on your ability to maintain and continually look to improve the organisations data environment. you will develop, improve and build upon existing database services and platforms, continually expanding the organisation's ability to access and gain insights from our data., , reporting to the data warehouse manager, your duties will include:,this is a busy and challenging position where no two days are the same. interviews will take place throughout mid-february so please apply now to be considered., , , , to be successful, you will be a skilled data analyst who has previous exposure to health domain knowledge and will ideally have worked microsoft suite tools at some point in your career. you will also have excellent communication skills, a pleasant personality and the ability to start quickly. some other important criteria include:, 06810-, [link removed], , , , please send your resume by clicking on the apply button or for further information, contact our , office on 03 9691 36 31., , learn more about our melbourne recruitment services: http://www.roberthalf.com.au/recruitment-agency-melbourne, , "
228,business analyst / process analyst / data analyst,10 Feb 2021,QIX Recruitment,Melbourne,119990.4,"we are excited that we are working with a well known financial institution where you will be pivotal part of a high-performing team to work across multiple projects. you will be working very closely with the project team, which includes business and technical stakeholders, as well as compliance and regulatory teams to make sure the implemented product is aligned with regulatory requirements.,looking for 2 business analysts, 2 process analysts and 2  data analysts,great daily rate on offer , together with the prospect of permanent opportunities, so if you can start within the next 2-4 weeks and feel you're ready for an exciting challenge, then apply now., , "
229,data & research analyst / consultant,9 Feb 2021,Amida,Sydney,90000.0,"our client is looking for an experienced ,to join their innovative team based in their sydney offices.,you will be responsible for collecting and analysing data as requested by stakeholders, work closely with teams to assemble and interpret the data, and responsible for creating corresponding documentation to reflect the results. candidate will need excellent communication and time management skillsets.,candidates can come from the resources sector, construction sector or really any corporate sector background. experience with sap is desirable, especially with purchase orders and purchase requisitions, knowledge of arbia is ideal but not essential.,this is a contract role with the potential to extend.,this is a contract full time position providing a great opportunity to work with an established organisation who offer challenging work.,if you have the skills and experience that we are looking for, click ""apply"" to submit your resume."
230,data analyst (12 month contract),9 Feb 2021,Slade Group,Melbourne,90000.0,"reporting to the head of australia and working across people & culture, hseq and esg, the data analyst is a newly created role which presents the opportunity to develop your data capture and analysis skills and use them to assist in strategic service delivery decision making.,key responsibilities: ,selection criteria:"
231,data analyst,29 Jan 2021,Enlighten Operational Excellence,Sydney,90000.0,"if you have answered “yes” to any of the above, we have a great career opportunity for you!,a group of talented, dedicated, hardworking professionals that have given our heart and soul into making enlighten a success. our mission is to provide world-class operational optimization services and software to administrative operations and contact centres, while simultaneously building a company that is both an “employer of choice” and financially rewarding to shareholders and employees alike. we believe that “high performance” hails from exceptional management behaviour fuelled on solutions that are imaginative, proactive, and enlightening.,the data analyst role will deliver advanced analytical solutions to help our consultants and clients solve business problems.,the position is currently a remote role. post covid-19 you will be working in a grade a building near sydney’s wynyard station. you will join a small and highly professional team responsible for both development and operations.,founded in sydney in 2003, today enlighten serves clients in over 30 countries.,we are a global operational excellence firm helping businesses to achieve high performance through engaged people and greater visibility of their operations. we provide the ‘aha’ moments that give companies around the world greater insight to be able to unlock the true potential in their people, processes, and performance. our unique approach combines behavioral change consulting, technology and management methodologies to deliver transformational impact and drive positive change. our approach effectively removes waste and improves internal processes while enhancing employee and customer engagement.,please direct all inquiries and resumes to debra sulser, chief human resources officer: , "
232,market research analyst,12 Feb 2021,Morgan McKinley,Sydney,90000.0,"support the development and coordination of the customer experience programme, collecting and analysing data with a focus on sentiment analysis and text analytics,key responsibilities,skills and experience,if you are interested in this role and meet the requirements, apply for the role by 14th february. please call urvi thacker on , if you have any queries about the role."
233,data/reporting analyst,5 Feb 2021,Peoplebank Australia VIC,Melbourne,90000.0,"our client is a leader within financial services. they pride themselves on looking after and supporting their customers as individuals. currently they are undertaking an exciting operations transformation, we require an data analyst to join the team., , the responsibilities of the role revolve around working in the operations transformation team. you will be looking at data around people, customers and human resources. this includes, ,the successful person will have a strong background in data analysis and analytics. you will be able to work with business stakeholders to understand what reports they need and be able to manipulate data to produce insights., , if this sounds like you please apply within., "
234,business intelligence analyst,8 Feb 2021,Deep Blue Company Pty Ltd,Melbourne,90000.0,"deep blue company is a fast-growing business delivering innovative, digital and high volume solutions to the australian retail property market. with a focus on connecting people, systems and data across the building inspection, pre-sale and conveyancing processes through to settlement, the deep blue group of companies is changing the australian residential property market. , ,working across the sales, service, customer experience and legal delivery functions, the operational transformation team is the engine room of deep blue company. the team provides operational process enhancement, project management, data, reporting and insights across our portfolio of brands including conveyacing.com.au and rapid building inspections.,reporting into the head of operational transformation you will play a critical role in guiding data driven decisions across the chief operating officer's functions. you will:,along with all of this, you'll bring to the team the following:,along with all of this, you'll bring to the team the following:,we're reshaping an industry.  you'll play a key role in enabling our operational teams to use data and insight to make decisions, test assumptions and deliver success.  if you've wanted to be close to where the action happens this could be the role for you."
235,data and business intelligence analyst,4 Feb 2021,Lime Intelligence,Brisbane,90000.0,"this newly created role as part of our small growing team will provide focussed bi report development and technical database support to deliver enhancements to the existing lime platform and be an integral part of our future expansion.     candidates must demonstrate keen curiosity, have strong experience working with data visualisation, databases design and management and agile project management., ,we are looking for a passionate data and bi analyst to be part of team lime.  the purpose of the role is the maintenance and enhancement of existing internal and external services through bi report development, agile project management and technical database support.  team fit is key for us including a ‘let’s do this’ attitude and be able to demonstrate:, , ,if you are keen to join a growing business and be part of this growth apply with a cover letter, cv and other relevant materials by email: admin@limeintel.com.  a full position description is available upon request.,please direct any enquiries by email only: admin@limeintel.com for this initial application.  "
236,data insight and strategy analyst,5 Feb 2021,Alpha Corporate Services,Brisbane,90000.0,"alpha companies has an exciting opportunity for a motivated individual to become part of our corporate head office team based in the brisbane cdb.,this exciting new role will influence how alpha companies monitor and track against its goals/kpi’s and visualize reports and data. this role will work alongside technical and business teams to help build out our long-term reporting capability and contribute to driving performance improvements across the alpha group, car hire, parking and finance.,established in 2006, the alpha group has grown nationally in the car parking, car hire, and car finance services industry, with a fleet of over 3,500 vehicles and serving 150,000 customers yearly.   , will have previous commercial experience in data analytics, plus: ,if you would like to work for an innovative organisation that values and rewards staff involvement and contribution to the business, supports professional development and offers great conditions please click the , button.  , "
237,pricing/data analyst,2 Feb 2021,Norwest Recruitment,Sydney,90000.0,"located in the macquarie park this blue chip, multi-national company is a market leader supplying a wide range of industrial products and consumables to their customers. ,the office is fresh and modern within close proximity to the metro station and bus stop. you will be working within a small team that is fast paced and dynamic.,working closely with sales and customer service, the pricing team uses analytics and data to drive better decision making in a continuous improvement driven culture.,in this role you will be responsible for:, ,the successful applicant must have previous experience in pricing and/or data analytics ideally within fmcg or b2b industries. strong business acumen with sound knowledge of pricing techniques and the ability to translate data into a commercial framework. advanced ms excel skills with proven experience in working with large datasets., ,you will need strong sql coding skills (python coding experience is a bonus), strong stakeholder management skills and a degree in finance, mathematics, statistics or data science would be ideal., , , , , "
238,data analyst,2 Feb 2021,TEKsystems,Melbourne,90000.0,"we are supporting a leading australian financial institution who has been providing australians with market leading and award-winning financial products and services for many years.,we are looking for multiple data analyst's to join our clients on one of the largest remediation programs in the market. having recent, hands-on experience with , you will be a strong team player with a strong interest in further developing your career within an industry leading company. there are multiple opportunities for different levels of experience ranging from graduate to lead roles.,experience working with tech teams, ,for more information please click on the apply button below.,or email your most recent cv to: , "
239,business intelligence analyst,5 Feb 2021,Longtail UX Pty Ltd,Sydney,90000.0,"we’re looking for a business intelligence analyst with a passion for data-driven insights and creative data visualisation. the successful candidate must demonstrate keen curiosity, and have strong experience developing end-to-end solutions, from data aggregation to analytics to visualisation. you should enjoy helping all lux employees become more efficient in their work through data, dashboards and related process improvements.,at longtail ux we’re on a mission to change the way how the world manages websites to drive customer acquisition. we’re hands-on “doers” at all levels of the organisation and passionate about being differentiated. if you love challenging yourself to develop innovative and quantified business insights that will help drive this fast-growing international aussie scale-up forward, this role is for you. ,embracing our company values is a key requirement of the role:,working closely with our cfo/vp of strategy, you will,we are on an exciting growth path, redefining an entire category world-wide and are looking for motivated people to help us scale our processes and systems to support and accelerate that growth. with our patented ecommerce technologies, we help our clients deliver a superior customer experience to dramatically improve their online revenue generation. smart companies are using lux to completely reimagine what’s possible in customer acquisition at a massive scale.,we work with clients around the world, including some of australia's best-known brands across retail and marketplaces, such as woolworths, myer, graysonline, catch group, dan murphy’s, adore beauty and many others. our international business is growing quickly, with established clients across the us, europe, japan and latin america, including international brands like ssense, adevinta group, kewpie, and bravissimo.,lux was co-founded by an ex-googler and is backed by well-known institutional investors, including investec and w23, the investment-arm of woolworth’s group. we have a hard-working and super fun team that strongly values diversity, work-life-balance and family while generating exceptional value for clients.,we value our people, and work hard to make sure that every day in the office is a good one. we encourage idea sharing, support personal development, celebrate achievements and appreciate there is life outside of work - and we are growing quickly, so there is ample opportunity for personal career growth too.,if this sounds like the ideal next step in your career, send us your cv and cover letter, explaining why this job sounds like a great fit for you!,for more information, please contact angela morrow, people operations manager: "
240,senior data analysts x 2 positions,3 Feb 2021,Hays Information Technology,Melbourne,90000.0,"2 opportunities! one 6 months ftc - one 6 months contract role, both melbourne location!, , this government organisation is looking for a senior data analyst who will be instrumental in investigating the field-level data and documenting the findings of an investigation project. they are looking for someone who has extensive experience working in very fast paced environments in senior roles within the government., , skills and experience:, , , if you're interested in this role, click 'apply now' to forward an up-to-date copy of your cv, or call us now., if this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career., , , lhs 297508"
241,data analyst / senior data analyst - multiple roles,2 Feb 2021,Charterhouse,Sydney,120000.0,"we are seeking a number of,for a global organisation based in sydney cbd.,you will play a pivotal part in analysing business requirements and conducting deep dives with a variety of stakeholders. you will display excellent communication skills, have a strong aptitude and a thirst to utilise your data skills using cutting edge technologies whilst upskilling yourself and progressing your career within a market leader., , "
242,data analyst,3 Feb 2021,Spinifex Recruiting,Sydney,90000.0," the data and analytics officer is responsible for data integration, analysis and reporting to the manager of data and insights for strategies and decision making processes., , , , * support the business by integrating data from a variety of sources using sql server integration services, performing in-depth analyses and interpretation, summarising results and key trends, updating materials and reportings using microsoft data technologies, , * develop documentation and support materials for planning, examining and identifying key trends and gaps; to support planning, reporting and analysis, , * act as a subject matter expert on data integration and key reporting systems including development of integration packages, analysis, problem solving, process improvement and compliance, , * create regular ad-hoc reports, and data analysis as needed. perform basic and advanced statistical modelling and forecasting using r or python, , * develop and implement data models that intergrate information from diverse internal and external sources, , , , * available for interview and readily available for immediate start, , * tertiary qualifications and subject matter expert on data integration,* python or r experience - statistical modelling and forecasting, , * deliver results through efficient use of resources and commitment to quality outcomes, , * problem solver to develop practical solutions, , * use available technologies to maximise efficiencies and effectiveness, , * project management - apply effective planning, coordination and control methods, , , , forward your resume to the link provided., "
243,business analyst,12 Feb 2021,CVGT Australia,"Bendigo, Goldfields & Macedon Ranges",90000.0,"would you like to give back to the community? are you a people person? when it comes to designing digital solutions, would you like to be the fundamental liaison between your colleagues, our business partners, our clients and the ict team?  are you always looking for ways to improve processes? then a career at cvgt australia might be right for you!,cvgt exists to connect more people to meaningful work and to create a positive impact for individuals, employers and our community.,we are currently looking for a dynamic business analyst (ba) to join the team at long gully for a 3-year contract.,reporting directly to the cio, the business analyst will work on a number of technology initiatives in support of the cvgt strategic plan, which embraces business transformation via digital means. the ba role will facilitate collaboration between the business and the ict team. they will proactively seek opportunities to make improvements to business processes and to identify digital technology and tools to improve customer service for our external stakeholders (jobseekers, employers, partners). a key activity for the ba will be solution design and will contribute to change management activities along with the it project manager. many of the outputs from the ba will lead to the establishment of it projects,please attached your cover letter accompanied by your resume via seek quoting 1527. applications close 25 february 2021.,for more information, email , for a position description or call amanda finnis on ,."
244,aps 6 data reporting/analyst,1 Feb 2021,Silverstone Edge,ACT,90000.0,"silverstone edge is a transformation consultancy. we are working with a social and community focused government department to hire the next generation of agile thinkers and doers.,-----------------------------------------------------------------------------------------------,-----------------------------------------------------------------------------------------------,we are seeking an aps 6 data reporting/analyst to assist in the implementation of a current grants round. you will be required to undertake a range of activities including:,-----------------------------------------------------------------------------------------------,if you love data and can both analyse and tell stories with it, this is the job for you.,commencement date is february.,contract end date 30 october with possibility to extend.,-----------------------------------------------------------------------------------------------"
245,it reporting analyst,10 Feb 2021,Advanced Personnel Management,Perth,90000.0,"in this permanent role, based in either sydney or perth, you will be responsible for creating and enhancing our reporting and data analytics functions to enable apm frontline employees to meet the mission of supporting individuals to overcome physical, intellectual, or psychological injury, illness or disability, to reach their goal in life. you will report into the it development manager and be part of a collaborative and supportive corporate it team.,all reports created are for internal use and supports apm internal customers. you will experience a variety of work and may never be working on the same thing twice. the areas you will work on include:,you pride yourself on producing quality business outputs driven by a strong, analytical and detail focused approach. you thrive in a pragmatic agile environment, taking accountability for your deliverables. you are a team player engaging with co-workers to ensure successful daily outcomes. a solutions mindset, you are comfortable in challenging the status quo to achieve best business results.,delivery is key to your success! at apm, we focus on delivery and provide you work variety and flexibility. joining an international human services organisation that has a growth mindset, you will have access to:,for the last 25 years, apm has been enabling better lives through a range of services including employment, allied health intervention, community care and workplace health. we help more than 600,000 people each year, in 10 countries across the world. organisations rely on the work of our assessors and health professionals to help employees avoid injury and apm is the provider of choice for many of australia's leading companies.,click , now and complete your application through our online recruitment platform."
246,microsoft bi report developer / support analyst,8 Feb 2021,Sensei,Adelaide,90000.0,"we’re looking for a purple shining star to complement our talented team of microsoft cloud technology experts. you will learn something new every day as you work with large, enterprise clients and support them on their microsoft cloud platform journey. if you love solving technical problems and using this knowledge to keep improving client satisfaction and our products, this is the role for you., , , , , , ,now it’s time to do something about it!  go on, reach out and have an initial chat with us to learn more about the role and tackle any questions you may have to confirm sensei is the right place for you and your talents., ,at sensei project solutions we partner with clients to help them improve the way they work.  we want our clients to be able to focus on the work that matters so they can achieve their individual and organisational goals.  to do this, our focus is on creating market leading digital solutions for work and project management that bridge the gap between industry standards and technology. we are known for our expertise, our approachable working style and our leadership within the microsoft productivity landscape. we are a profitable, growing, awesome place to work that everyone at sensei is proud of. things you should know about us before applying to join:,you can find out more about us on our website - https://www.senseiprojectsolutions.com.au/careers/"
247,data analyst - remediation focus,29 Jan 2021,B & K Consulting,Sydney,90000.0,"our client is a raidly growing company which provides retail and wholesale stockbroking services including trading, clearing and settlement of transactions.,the data analyst role will work closely with the business operations, development & product teams, based in sydney, as well as with key stakeholders across the business. the successful candidate will need to be hands on, with an ability to scope out, define and prioritise requirements with respect to a data remediation program. the successful candidate will also need to work closely with the development team and internal & external stakeholders to deliver changes to improve data quality and to implement systematic and operational changes to ensure that data quality is continuously maintained.,role and responsibilities ,you will work as part of business which is growing and did so throughout 2020. they have the backing of a global network of offices and have a supportive and collaborative team. this role will allow you the opportunity to make your mark and an impact and career progression ahead.,if this is an opportunity of interest and you have relevant experience, then please apply., "
248,it reporting analyst,10 Feb 2021,Advanced Personnel Management,Sydney,90000.0,"in this permanent role, based in either sydney or perth, you will be responsible for creating and enhancing our reporting and data analytics functions to enable apm frontline employees to meet the mission of supporting individuals to overcome physical, intellectual, or psychological injury, illness or disability, to reach their goal in life. you will report into the it development manager and be part of a collaborative and supportive corporate it team.,all reports created are for internal use and supports apm internal customers. you will experience a variety of work and may never be working on the same thing twice. the areas you will work on include:,you pride yourself on producing quality business outputs driven by a strong, analytical and detail focused approach. you thrive in a pragmatic agile environment, taking accountability for your deliverables. you are a team player engaging with co-workers to ensure successful daily outcomes. a solutions mindset, you are comfortable in challenging the status quo to achieve best business results.,delivery is key to your success! at apm, we focus on delivery and provide you work variety and flexibility. joining an international human services organisation that has a growth mindset, you will have access to:,for the last 25 years, apm has been enabling better lives through a range of services including employment, allied health intervention, community care and workplace health. we help more than 600,000 people each year, in 10 countries across the world. organisations rely on the work of our assessors and health professionals to help employees avoid injury and apm is the provider of choice for many of australia's leading companies.,click , now and complete your application through our online recruitment platform."
